Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
nestor,US,8,9,24.8.66.176,c-24-8-66-176.hsd1.co.comcast.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.4.18-rc on Linux,0,0
Net0x13aTorFr01,FR,528,17,91.121.167.195,fr01.tor.0x13a.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.4.18-rc on Linux,0,0
netf,DE,22,6,176.9.237.2,static.2.237.9.176.clients.your-server.de,9001,None,0,0,1,1,1,0,1,1,0,Tor 0.2.3.25 on Linux,0,0
netfreak,DE,14,0,92.226.229.131,g226229131.adsl.alicedsl.de,444,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.39 (git-bec76476efb71549) on Windows Vista Service Pack 2 [server],0,0
netmancer1,GB,83,87,80.77.87.125,strontium.netmancer.com,443,80,0,0,1,1,1,1,1,1,1,Tor 0.2.4.17-rc on Linux,0,0
netmancer2,US,253,45,209.141.51.84,technetium.netmancer.com,443,80,0,0,1,1,1,1,1,1,1,Tor 0.2.4.17-rc on Linux,0,0
NetromAc,DK,18,0,89.239.209.94,1508888926.dhcp.dbnet.dk,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
NetromAs,DK,262,0,82.143.224.26,1385160730.business.dbnet.dk,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
NetromLat610,DK,4617,4,89.239.213.168,1508890024.dhcp.dbnet.dk,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
network23,US,47,113,204.62.12.74,204-62-12-74.static.6sync.net,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
netzfrei3,DE,306,6,88.198.68.42,server23.webgo24.de,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
Neulandor,DE,18,0,93.233.38.230,p5DE926E6.dip0.t-ipconnect.de,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
NeuroNut,DE,30,16,146.52.107.71,146-52-107-71-dynip.superkabel.de,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
neutrality,US,6,6,216.115.3.26,www.rashlytinted.pw,443,None,0,1,0,0,1,0,1,1,0,Tor 0.2.3.25 on Linux,0,0
Neutrino,BE,20,5,94.224.18.235,94-224-18-235.access.telenet.be,9001,9030,0,0,0,0,1,0,1,1,1,Tor 0.2.4.18-rc on Linux,0,0
neveragain1942,DK,35,2,5.103.199.174,dhcp-5-103-199-174.seas-nve.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
NewPrecise,US,2,4,24.42.137.188,dynamic-24-42-137-188.knology.net,9051,None,0,0,1,0,1,1,1,1,0,Tor 0.2.5.1-alpha on Linux,0,0
newTor,DE,239,148,84.19.176.89,ns.km20619-05.keymachine.de,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.4.12-alpha on Linux,0,0
newTorThird,DE,104,32,87.118.112.173,ns.km31223-01.keymachine.de,9001,None,0,1,1,1,1,1,1,1,0,Tor 0.2.4.17-rc on Linux,0,0
nickname155,CZ,15,129,77.93.216.80,verunka.x-base.cz,9001,None,0,1,1,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
NickTheName,DE,14,35,87.118.105.112,posch.name,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
nickyinthebasement,DE,2,0,93.132.178.19,stgt-5d84b213.pool.mediaWays.net,9990,9991,0,0,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
nico,US,4,0,74.5.158.141,oh-74-5-158-141.dhcp.embarqhsd.net,9001,9030,0,0,0,0,1,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
niebiestorrelay,DE,0,68,88.73.204.148,dslb-088-073-204-148.pools.arcor-ip.net,9001,None,0,0,0,0,1,1,1,1,0,Tor 0.2.2.39 (git-2f7e71c2e896772f) on Linux armv5tel,0,0
NiEstasLibera,DE,12,145,85.214.49.247,h1962785.stratoserver.net,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
nietzsche,DE,1878,28,46.252.26.2,j17531.servers.jiffybox.net,49991,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
niftyniftynotnastty,FR,1776,10,109.24.208.244,244.208.24.109.rev.sfr.net,9421,None,0,0,1,0,1,1,1,1,0,Tor 0.2.4.17-rc on Linux,0,0
NiGH,SE,59,51,213.89.240.99,c213-89-240-99.bredband.comhem.se,4404,4403,0,0,1,1,1,1,1,1,1,Tor 0.2.4.17-rc on Windows Vista,0,0
NightElfBuroBar,FR,1655,245,5.39.79.26,ks3266024.kimsufi.com,44578,44588,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
nignog,US,43,20,71.33.204.217,71-33-204-217.hlrn.qwest.net,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.4.18-rc on Linux,0,0
NikitaiWeb,CA,9,5,70.38.31.121,iweb.nikita.ca,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.19-rc on Linux,0,0
nilpferd,SE,29,7,46.246.93.16,se.nil-pferd.net,9443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
NilsHolgersson,FI,0,17,88.148.194.71,88-148-194-71.bb.dnainternet.fi,443,None,0,0,0,0,1,1,1,1,0,Tor 0.2.3.25 on Windows XP,0,0
nineplusone,US,21,2,98.196.134.175,c-98-196-134-175.hsd1.tx.comcast.net,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.3.25 on FreeBSD,0,0
ninjaTor,FR,93,192,5.135.160.156,ks3310726.kimsufi.com,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.39 (git-2f7e71c2e896772f) on Linux x86_64,0,0
nippon33,JP,88,1,101.140.201.238,101-140-201-238f1.osk2.eonet.ne.jp,4433,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.25 on Windows 8,0,0
nironwolf,US,3,2,68.2.49.230,ip68-2-49-230.ph.ph.cox.net,9031,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.25 on Windows 7,0,0
nn,US,0,0,184.78.144.193,184-78-144-193.war.clearwire-wmx.net,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
Noam,FR,14,0,84.99.160.62,62.160.99.84.rev.sfr.net,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
NoAusNetFilTOR,AU,3,9,110.174.43.136,110-174-43-136.static.tpgi.com.au,463,9130,0,1,0,0,0,1,1,1,1,Tor 0.2.3.25 on Windows Server 2003,0,0
NobodySayAnything,US,918,41,178.18.17.174,178.18.17.174,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
nocabalng,DE,29,61,85.214.229.12,tor.nocabal.de,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
nocensorship,DE,2667,13,62.224.99.72,p3EE06348.dip0.t-ipconnect.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
Node3781,UA,29,1,46.119.88.164,SOL-FTTB.164.88.119.46.sovam.net.ua,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.5.1-alpha on Linux,0,0
nodezero6,DE,0,115,212.114.254.91,DSL01.212.114.254.91.ip-pool.NEFkom.net,9001,None,0,0,0,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
noexit,RU,166,3,79.165.29.41,host-79-165-29-41.qwerty.ru,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
NoExitGB,GB,0,1,81.103.68.170,cpc65389-bagu13-2-0-cust169.1-3.cable.virginmedia.com,9001,None,0,0,0,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
noexitrelay,US,5,9,216.231.132.113,216.231.132.113.rdns.continuumdatacenters.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
noexitrelay,US,6,62,216.231.132.125,local.local,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
noexitrelay,US,5,9,216.231.132.120,216.231.132.120.rdns.continuumdatacenters.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
noh9kai9ohDe,DE,7,0,91.44.234.23,p5B2CEA17.dip0.t-ipconnect.de,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.5.1-alpha on Linux,0,0
NohusTorRelay,PL,79,82,109.241.47.120,109241047120.bielskobiala.vectranet.pl,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
noidentity,AT,957,46,193.33.216.23,193.33.216.23,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
noiseexit01a,US,5136,60,173.254.216.66,exit-01a.noisetor.net,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.4.17-rc on Linux,0,0
noiseexit01b,US,5150,60,173.254.216.67,exit-01b.noisetor.net,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.4.17-rc on Linux,0,0
noiseexit01c,US,4920,60,173.254.216.68,exit-01c.noisetor.net,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.4.17-rc on Linux,0,0
noiseexit01d,US,3113,60,173.254.216.69,exit-01d.noisetor.net,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.4.17-rc on Linux,0,0
nomnomtor,DE,2360,136,81.169.249.246,h2166904.stratoserver.net,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
noname,DK,68,32,80.70.5.14,80.70.5.14,9001,9030,0,1,1,0,1,1,1,1,1,Tor 0.2.3.19-rc on Linux,0,0
NoNaMe,RU,36,4,212.248.29.154,212.248.29.154,443,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.3.25 on Windows Vista [server],0,0
noname2344,PA,32,626,201.218.218.198,financialsolutionservices.us,9001,None,0,1,1,0,1,1,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
nonameforyou,US,15,21,98.111.220.24,pool-98-111-220-24.pitbpa.fios.verizon.net,12857,12957,0,0,1,0,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
none,NL,6,9,83.85.188.90,5355BC5A.cm-6-6c.dynamic.ziggo.nl,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
nOnE,FR,1,0,88.182.124.157,cvl92-4-88-182-124-157.fbx.proxad.net,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.4.18-rc on Linux,0,0
nonever,US,5,1,108.69.52.33,108-69-52-33.lightspeed.stlsmo.sbcglobal.net,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.4.16-rc on Linux,0,0
NontenTor,FR,789,24,95.130.13.135,digi00798.digicube.fr,88,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.25 on Windows 8 [server],0,0
nooook,NL,79,4,130.89.166.121,blupsie2.student.utwente.nl,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
nordkril,US,14,88,192.81.223.118,192.81.223.118,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
noremorse,FR,37,12,109.190.113.246,246-113-190-109.dsl.ovh.fr,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
Norten,BG,24,7,84.238.227.65,hst-227-65.medicom.bg,443,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.3.25 on Windows 7,0,0
NoSpam,DE,6,2,178.203.149.12,ip-178-203-149-12.unitymediagroup.de,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
notespace,US,1,20,74.207.231.186,notespace.org,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
NothingToSeeHere,CA,0,6,67.204.2.248,dsl-67-204-2-248.acanac.net,9001,None,0,0,0,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
NotNamed,DE,106,21,87.106.94.223,s15421462.onlinehome-server.info,443,80,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Windows 7 [server],0,0
NovelThunder,CH,67,6,77.58.71.175,77-58-71-175.dclient.hispeed.ch,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Darwin,0,0
NoWay,US,455,2,178.18.17.111,torsrvf.snydernet.net,9001,None,0,1,1,1,1,1,1,1,0,Tor 0.2.4.18-rc on Linux,0,0
nozavoo,FR,28,8,37.187.18.180,oo.nozav.org,993,110,0,0,1,0,0,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
nozavpi,FR,15,5,78.193.40.254,78.193.40.254,80,None,0,0,1,0,0,0,1,1,0,Tor 0.2.3.25 on Linux,0,0
nsafilter,DE,56,9,93.190.90.44,93.190.90.44,9001,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.2.39 (git-2f7e71c2e896772f) on Linux x86_64,0,0
nsaIsMean,US,5,33,192.241.229.57,192.241.229.57,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.4.17-rc on Linux,0,0
NSAProtest,US,15,4,69.132.54.212,cpe-069-132-054-212.carolina.res.rr.com,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
nsaPwned,DE,20,9,80.244.243.158,zeus.server.stefans-entwicklerecke.de,1337,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
NSASECAPPLIANCE,DE,54,3,91.237.88.101,91.237.88.101,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.3.25 on SunOS,0,0
NSAShouldBeAshamed,US,7,9,50.43.42.124,static-50-43-42-124.bvtn.or.frontiernet.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
NSATor017,DE,6736,14,91.143.91.174,91.143.91.174,443,80,0,0,1,1,1,1,1,1,1,Tor 0.2.4.18-rc on FreeBSD,0,0
NSDHelpsPrivacy,US,11,26,76.160.115.235,static-76-160-115-235.dsl.cavtel.net,443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
NSTL201,US,37,4,184.22.247.89,host1.purochadeoliveira.com,9001,None,0,1,1,0,0,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
NtuaLiberty,GR,2,0,147.102.237.172,147.102.237.172,443,80,0,0,1,0,1,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
nuc,CH,38,0,5.172.133.235,5-172-133-235.dyn.cable.fcom.ch,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
NurvTOR,FR,26,0,82.66.230.32,mna75-3-82-66-230-32.fbx.proxad.net,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
nwps,FI,0,18,159.255.251.107,159-255-251-107.bb.dnainternet.fi,9001,None,0,0,0,0,1,0,1,1,0,Tor 0.2.4.17-rc on Linux,0,0
nx1tor,US,1299,1,166.82.21.200,h200.21.82.166.static.ip.windstream.net,9029,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
nxu001,US,17,9,192.241.130.60,192.241.130.60,8000,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
NYCBUG0,US,568,20,66.111.2.20,nycbug0.nycbug.org,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.4.18-rc on FreeBSD,0,0
NYCBUG1,US,330,11,66.111.2.16,nycbug1.nycbug.org,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.4.18-rc on OpenBSD,0,0
Nyr1,US,607,13,23.92.65.19,d.99.yt,443,80,0,0,1,0,0,0,1,1,1,Tor 0.2.4.18-rc on Linux,0,0
nytr,US,27,4,208.116.25.20,newyork.tronkle.com,9001,None,0,0,0,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
NYXSpiritoftheNight,US,3,0,50.243.128.170,50-243-128-170-static.hfc.comcastbusiness.net,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
nyxTor,GR,656,62,83.212.98.112,snf-3317.vm.okeanos.grnet.gr,443,80,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
NzczN2NiZDRkO,US,14,0,96.44.168.50,96.44.168.50.static.quadranet.com,23,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
oasis,US,40,3,71.190.135.156,pool-71-190-135-156.nycmny.fios.verizon.net,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Linux i686,0,0
ObentoSama,MY,0,0,110.159.249.168,110.159.249.168,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.3.25 on Windows 8,0,0
ObfuscateMeCHI01,US,0,6,192.210.138.205,host.colocrossing.com,9001,None,0,0,0,0,1,0,1,1,0,Tor 0.2.3.25 on Linux,0,0
ObfuscateMeLAX01,US,0,125,198.23.227.117,host.colocrossing.com,9001,None,0,0,0,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
ObfuscateMePHX01,US,15,2,38.89.97.148,38.89.97.148,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
ObfuscateMePHX02,US,22,117,69.160.42.190,69.160.42.190,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
ObfuscateMeSJC01,US,360,4,178.18.19.163,178.18.19.163,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
ObiTorRelay,US,237,1,98.231.184.219,c-98-231-184-219.hsd1.va.comcast.net,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
OblivioN,FR,2,1,90.42.1.122,AGrenoble-257-1-126-122.w90-42.abo.wanadoo.fr,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.39 (git-bec76476efb71549) on FreeBSD amd64,0,0
Ocean,GR,1229,19,83.212.113.133,snf-145893.vm.okeanos.grnet.gr,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.4.18-rc on Linux,0,0
Octavian,IN,5,0,120.56.166.77,120.56.166.77,8080,9030,0,1,0,0,1,0,1,1,1,Tor 0.2.3.25 on Windows 7,0,0
OctoSquid,DE,2,12,82.210.9.21,82.210.9.21.rev.worldbone.de,9001,None,0,1,0,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
odoketa,US,1,1,96.31.211.203,96.31.211.203,443,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.2.39 (git-bec76476efb71549) on Windows 7 Service Pack 1 [workstation],0,0
odysseus,DE,0,1,217.189.73.136,kobz-d9bd4988.pool.mediaWays.net,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.4.18-rc on OpenBSD,0,0
offblast,US,3,8,199.102.76.134,iota.offblast.org,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on OpenBSD,0,0
office110,DE,0,0,217.254.56.203,pD9FE38CB.dip0.t-ipconnect.de,9001,None,0,0,0,0,1,0,1,1,0,Tor 0.2.4.15-rc on Linux,0,0
OhCanada,CA,117,5,209.17.191.117,van1.zworg.com,6969,9696,0,1,1,0,1,1,1,1,1,Tor 0.2.4.17-rc on Linux,0,0
oilsrv1,CH,5903,74,62.220.136.253,oilsrv1.saitis.net,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
oisadf098,CZ,0,0,77.93.202.15,v.vyskup.com,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.39 (git-2f7e71c2e896772f) on Linux i686,0,0
okcon2,US,152,81,192.241.199.208,tor-exit.aphr.asia,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.4.17-rc on Linux,0,0
OkupiedAmerika,US,3,4,108.89.120.174,108-89-120-174.lightspeed.tulsok.sbcglobal.net,443,None,0,0,0,0,0,0,1,1,0,Tor 0.2.4.18-rc on Windows 7,0,0
